phone_number,monthly_spend,data_usage_gb,speed_mbps,support_calls,complaints,downtime_hours,payment_delay_days,device_count,plan_upgrade_count,contract_type,region,tenure_months,churn_status,cltv,payment_status,service_type,average_monthly_usage_gb,peak_usage_time,installation_address_airport_km,customer_satisfaction_score,smart_home_devices,azcloud_subscriber,marketing_consent
+9940708671440,58.13,128.9,200,3,2,0.35,3,4,3,0,2,13,0,755.66,paid,ADSL,117.8,afternoon,36.4,2,0,0,0
+9940779663613,41.3,165.7,100,3,1,2.19,2,4,0,1,4,17,1,702.14,paid,GPON,195.7,evening,20.5,4,0,1,1
+9940777788442,58.36,168.2,50,0,1,4.24,1,5,1,0,2,12,0,700.29,unpaid,GPON,164.0,night,1.0,5,1,0,0
+9940771930724,56.89,79.7,50,4,1,3.83,0,2,1,1,1,23,1,1308.49,overdue,ADSL,100.7,evening,1.5,2,0,0,1
+9940508378278,31.33,187.9,20,4,2,1.91,1,4,1,1,3,14,0,438.64,paid,ADSL,197.5,evening,22.8,5,1,0,1
+9940777227899,42.55,245.0,200,0,1,0.73,1,4,1,1,4,9,0,382.98,paid,Cable,236.8,evening,11.6,3,1,1,1
+9940505734544,41.75,157.3,200,4,0,1.91,0,4,0,1,1,12,1,500.98,paid,GPON,152.2,evening,7.9,4,0,0,1
+9940552289146,110.0,276.1,20,3,1,1.91,1,5,3,0,1,27,0,2969.95,unpaid,GPON,299.8,night,2.4,2,0,1,0
+9940559970093,86.3,153.4,20,2,1,2.25,0,1,1,1,1,21,0,1812.34,paid,ADSL,154.0,night,13.0,4,1,0,1
+9940514983457,97.89,269.4,20,3,0,0.14,1,5,1,0,4,30,0,2936.72,paid,GPON,260.3,evening,3.7,3,0,1,1
+9940501397575,59.93,186.9,200,0,2,0.51,0,5,1,0,1,26,0,1558.08,paid,GPON,170.8,evening,4.5,2,2,0,1
+9940502889716,104.9,226.5,20,0,1,3.82,0,5,0,0,2,27,0,2832.23,unpaid,Cable,232.9,evening,23.8,1,1,1,1
+9940774611384,51.76,70.7,20,3,0,0.44,0,2,1,1,1,21,0,1087.02,paid,ADSL,60.3,night,22.6,5,0,0,1
+9940511560941,48.69,192.0,50,2,1,0.59,1,3,2,0,4,22,0,1071.08,paid,GPON,203.9,evening,42.9,4,0,1,0
+9940513915429,72.95,163.5,50,2,2,0.33,2,1,0,0,4,26,0,1896.61,paid,GPON,193.5,evening,7.3,3,2,0,1
+9940775215632,125.87,206.1,50,2,1,1.5,0,1,1,1,3,32,0,4027.74,unpaid,5G,216.5,evening,15.6,3,0,1,1
+9940509537808,33.57,37.1,100,0,1,2.07,0,3,1,1,4,19,0,637.8,paid,Cable,67.1,afternoon,2.8,4,1,0,1
+9940771777374,60.74,152.6,20,0,1,0.37,3,5,2,0,1,23,0,1397.02,paid,GPON,138.3,night,1.0,1,3,0,1
+9940776191748,56.1,106.1,20,5,0,8.55,2,2,0,1,2,20,1,1122.01,paid,Cable,119.8,afternoon,36.1,1,0,0,1
+9940559241849,161.86,100.1,20,1,0,3.5,2,4,1,1,4,45,1,7283.58,paid,Cable,125.2,afternoon,26.9,5,1,0,1
+9940508255717,87.86,13.4,100,2,1,0.4,3,1,1,1,3,28,1,2460.02,paid,Cable,41.0,evening,49.8,1,1,0,1
+9940509324472,95.18,143.8,100,1,1,0.11,1,1,0,1,2,25,0,2379.53,paid,5G,169.4,evening,2.2,1,1,0,1
+9940512533070,59.2,118.1,50,3,1,0.09,0,4,2,1,3,17,0,1006.39,paid,Cable,118.5,evening,20.3,5,0,0,0
+9940558212087,5.0,127.8,200,2,0,0.94,3,2,1,0,4,8,0,40.0,overdue,Cable,145.6,afternoon,15.3,4,0,0,1
+9940509807706,101.17,212.7,100,3,1,4.5,1,1,3,1,1,37,0,3743.17,paid,GPON,192.4,afternoon,11.4,4,0,0,1
+9940553934294,57.6,10.0,200,1,0,6.01,3,5,0,0,4,8,0,460.84,paid,5G,40.0,afternoon,7.2,5,0,0,1
+9940505487755,78.35,10.0,200,2,1,0.36,1,5,0,0,2,24,0,1880.47,unpaid,GPON,-9.0,evening,1.5,4,0,0,1
+9940555777571,28.79,170.4,50,1,3,1.37,1,1,0,0,1,8,0,230.33,paid,5G,195.5,night,4.0,1,2,0,1
+9940505443048,132.92,10.0,100,1,1,9.22,0,5,1,0,4,35,1,4652.24,paid,Cable,30.9,night,20.6,1,1,0,1
+9940703608035,114.58,101.5,100,0,1,0.58,1,1,1,1,3,26,0,2979.17,paid,ADSL,122.3,evening,32.2,5,1,0,1
+9940509737961,14.97,325.7,50,2,0,1.28,1,4,3,1,1,15,1,224.6,paid,ADSL,355.7,evening,6.3,3,0,1,0
+9940509608469,41.48,197.8,100,2,0,0.6,0,4,3,0,1,18,0,746.62,paid,5G,218.8,evening,11.3,2,2,0,1
+9940504426590,81.11,193.8,50,2,1,0.4,0,2,0,0,1,25,0,2027.67,paid,Cable,167.3,night,2.0,2,0,0,0
+9940778247627,5.0,188.3,20,1,1,1.14,0,1,2,0,3,7,0,35.0,paid,ADSL,200.1,evening,9.4,4,1,0,1
+9940504577724,17.33,97.1,20,2,1,5.01,0,3,0,0,2,9,0,155.97,overdue,GPON,67.1,morning,16.4,5,0,0,1
+9940558153294,71.46,287.7,50,2,0,1.44,1,5,0,0,2,16,1,1143.33,paid,GPON,285.8,morning,45.2,4,0,1,1
+9940556262773,93.15,342.8,200,3,1,2.41,1,1,3,0,3,31,1,2887.77,paid,ADSL,334.4,evening,8.6,3,0,1,1
+9940555231526,70.04,34.1,20,0,2,2.56,2,5,0,1,4,23,0,1610.88,paid,Cable,46.8,evening,61.3,3,2,0,1
+9940702152473,132.05,169.4,100,2,0,0.88,1,4,1,1,4,32,0,4225.51,overdue,ADSL,153.0,night,18.3,2,1,0,1
+9940776891317,83.93,129.2,20,1,0,0.56,0,5,1,1,1,24,0,2014.3,paid,5G,113.3,morning,36.7,2,0,0,0
+9940513889770,65.76,146.4,100,0,1,8.12,0,2,1,1,2,19,1,1249.38,paid,Cable,156.4,night,7.2,1,0,0,1
+9940772951727,106.91,93.4,20,3,1,6.44,1,4,2,1,1,29,1,3100.49,paid,Cable,116.9,night,15.5,3,0,0,1
+9940512738874,48.87,28.7,50,3,1,3.04,1,3,2,0,2,19,1,928.51,paid,5G,28.7,evening,2.9,2,2,0,1
+9940779836897,90.38,276.9,200,1,2,0.08,1,4,0,0,4,31,0,2801.87,overdue,GPON,306.9,afternoon,4.7,2,2,1,1
+9940551929551,119.12,148.8,50,2,0,1.83,2,1,0,1,2,33,0,3930.88,paid,Cable,141.9,afternoon,9.6,2,1,0,1
+9940708186731,65.95,177.9,200,2,1,7.42,1,3,2,1,3,18,1,1187.07,paid,ADSL,191.5,evening,11.2,4,2,0,0
+9940778795300,37.51,10.0,20,1,2,0.11,3,5,0,0,4,12,1,450.1,paid,5G,16.8,morning,29.1,4,1,0,1
+9940701279476,8.47,223.3,20,0,0,1.75,3,5,3,1,2,3,0,25.41,paid,5G,216.4,night,30.3,5,0,1,1
+9940776303979,47.47,144.9,20,0,4,2.57,2,2,2,1,2,18,0,854.4,paid,Cable,171.1,evening,29.9,5,1,0,1
+9940556196642,48.61,298.5,20,4,1,0.71,1,1,0,0,4,16,0,777.69,paid,Cable,280.7,evening,10.5,5,2,1,1
+9940504228054,77.91,73.3,50,1,0,1.61,0,3,2,0,2,26,0,2025.63,paid,5G,43.3,evening,20.0,2,1,0,0
+9940557000427,71.33,74.6,200,1,3,2.75,1,2,3,1,3,26,0,1854.45,paid,Cable,72.1,morning,34.8,5,0,0,1
+9940504678023,51.42,10.0,20,1,3,2.36,0,2,2,1,1,22,1,1131.25,paid,5G,4.9,evening,1.7,3,2,0,1
+9940774957223,41.13,346.8,50,2,1,3.24,2,1,0,1,4,12,0,493.53,paid,GPON,368.1,evening,2.3,5,1,1,0
+9940514883670,43.72,73.4,20,2,4,1.99,0,3,1,1,1,8,0,349.74,unpaid,GPON,48.4,morning,14.0,5,2,0,0
+9940518206068,20.48,147.8,100,1,2,3.17,0,1,0,0,3,11,0,225.27,overdue,5G,158.3,afternoon,47.5,4,0,0,1
+9940516698342,77.91,80.5,100,0,3,0.65,0,5,2,1,4,24,0,1869.79,overdue,GPON,88.6,evening,13.3,2,1,0,1
+9940704411422,123.84,160.2,20,1,1,2.42,2,1,3,1,1,35,0,4334.44,paid,GPON,166.7,evening,49.9,2,2,0,1
+9940559340923,39.85,17.4,50,0,5,3.91,2,1,0,1,2,16,0,637.57,paid,5G,38.3,afternoon,5.2,4,0,0,1
+9940778218529,114.2,113.8,20,1,1,0.05,3,3,2,0,4,30,0,3426.1,paid,ADSL,113.3,evening,67.5,5,2,0,1
+9940559395015,56.01,188.7,50,2,1,1.5,1,1,0,0,1,15,0,840.09,paid,Cable,189.7,night,26.3,1,1,1,1
+9940517574507,107.13,223.6,50,2,2,3.57,2,3,1,1,2,29,0,3106.71,unpaid,5G,232.6,evening,6.9,2,1,1,1
+9940504523427,116.92,177.1,200,2,3,1.6,1,1,1,0,4,34,0,3975.38,paid,ADSL,175.1,afternoon,1.0,3,2,1,1
+9940507956474,95.54,66.5,20,0,1,0.05,2,5,1,0,1,22,0,2101.78,paid,GPON,39.4,evening,10.9,5,0,0,0
+9940513963361,48.59,211.6,100,1,3,0.03,2,3,2,0,4,10,1,485.91,paid,Cable,203.4,evening,1.2,2,1,0,1
+9940773438358,45.03,10.0,200,1,1,1.44,0,2,2,0,3,9,0,405.31,overdue,Cable,4.8,night,7.6,3,1,0,1
+9940555059418,66.86,116.3,20,0,1,3.02,2,4,1,1,1,17,0,1136.58,paid,ADSL,105.1,evening,22.4,2,0,0,1
+9940779723733,32.0,130.7,200,1,0,2.64,0,3,2,1,1,15,0,480.02,overdue,Cable,124.3,afternoon,3.7,4,2,0,0
+9940506111407,123.39,128.9,200,2,0,0.62,1,5,0,1,2,39,0,4812.2,unpaid,5G,132.5,afternoon,6.4,2,0,0,1
+9940504453237,72.16,246.0,50,2,3,3.41,3,4,2,0,3,23,1,1659.65,paid,5G,240.5,morning,43.6,1,2,1,1
+9940775156360,100.43,63.9,50,1,2,6.84,0,5,1,0,4,32,0,3213.86,unpaid,Cable,80.9,evening,6.3,3,0,0,0
+9940503620946,89.02,169.5,100,0,2,1.17,1,5,3,1,4,29,0,2581.64,paid,GPON,186.9,afternoon,1.0,1,1,0,1
+9940506928780,145.03,201.1,100,3,1,2.62,0,1,3,0,1,43,0,6236.47,paid,5G,171.1,evening,3.2,2,2,1,0
+9940554153822,62.56,164.0,200,4,0,0.23,1,4,1,0,3,13,0,813.25,paid,ADSL,135.4,evening,15.9,5,1,0,0
+9940775989590,80.53,215.8,200,2,1,3.35,0,5,1,1,2,21,0,1691.09,overdue,Cable,185.8,evening,1.0,5,2,0,1
+9940704328363,90.56,51.3,50,0,1,0.56,0,1,0,1,3,28,0,2535.75,paid,5G,45.8,afternoon,1.4,4,1,0,0
+9940503886439,65.03,308.5,20,1,0,2.4,0,5,0,0,2,25,0,1625.76,paid,ADSL,301.7,afternoon,3.4,3,2,1,0
+9940779732120,56.47,46.8,50,5,1,0.09,1,4,1,1,3,24,0,1355.32,paid,GPON,49.9,evening,42.4,5,3,0,1
+9940774111576,41.68,267.9,100,3,0,2.83,3,4,2,1,4,17,1,708.63,paid,5G,284.7,evening,5.6,1,1,1,1
+9940771634683,89.27,107.0,200,3,1,0.08,1,4,0,1,1,25,0,2231.68,paid,GPON,106.1,evening,4.3,3,4,0,1
+9940774407334,78.61,127.0,50,2,1,4.61,0,2,0,0,2,33,0,2594.0,paid,ADSL,114.9,evening,13.6,3,1,0,1
+9940515789295,94.93,177.5,200,2,1,0.06,2,5,2,0,1,26,0,2468.28,paid,5G,177.4,night,1.0,1,1,0,1
+9940771851757,146.85,191.4,20,0,2,1.13,3,4,0,1,2,37,0,5433.48,paid,5G,181.5,evening,13.8,1,0,0,1
+9940513751159,100.03,74.1,100,1,1,4.46,1,3,2,0,4,30,0,3000.84,paid,GPON,44.6,afternoon,37.1,3,0,0,1
+9940772494563,55.54,86.5,50,1,2,1.63,0,4,0,0,3,10,0,555.36,paid,ADSL,105.7,afternoon,26.6,1,2,0,1
+9940555505834,83.66,135.5,100,2,0,0.01,0,5,0,1,3,20,1,1673.2,paid,Cable,144.0,night,10.1,5,1,0,0
+9940707508023,48.19,216.3,50,2,3,0.46,0,2,0,1,4,14,0,674.7,unpaid,ADSL,245.3,afternoon,1.0,1,3,0,1
+9940709716321,49.19,135.6,200,1,3,2.34,2,5,2,1,3,23,0,1131.37,paid,Cable,110.9,morning,8.0,1,2,0,1
+9940704501870,127.36,235.3,20,3,1,0.13,0,1,1,1,1,45,0,5731.03,paid,Cable,205.3,night,26.6,4,0,1,1
+9940708769326,106.78,137.6,200,4,1,0.82,3,4,0,1,3,25,1,2669.5,overdue,5G,118.9,morning,17.9,3,3,1,1
+9940702930850,64.92,148.0,50,1,0,0.65,0,3,0,0,1,12,0,778.99,paid,Cable,156.0,evening,30.3,3,0,0,1
+9940708024472,165.48,171.5,100,0,0,1.97,3,4,0,0,1,46,0,7612.26,paid,GPON,188.7,morning,2.3,2,4,0,1
+9940506064051,39.03,194.7,50,1,1,0.27,0,3,1,1,3,10,0,390.3,paid,5G,200.4,evening,10.8,1,1,0,1
+9940777823558,56.49,251.5,50,0,2,0.09,1,3,0,1,4,18,0,1016.8,paid,Cable,254.3,afternoon,4.0,4,0,0,1
+9940557799855,126.32,56.7,50,1,2,0.98,1,1,1,0,2,37,1,4673.98,paid,5G,73.8,night,4.2,3,0,0,1
+9940515791890,123.82,46.0,50,2,0,3.75,1,2,0,0,2,36,1,4457.47,unpaid,Cable,36.8,morning,1.0,2,1,0,0
+9940553316801,53.26,95.3,20,1,0,0.79,1,5,0,1,3,19,1,1011.93,paid,ADSL,116.4,afternoon,2.5,2,1,0,1
+9940775735656,61.33,142.3,50,1,1,0.9,3,3,0,0,2,15,0,919.89,paid,Cable,172.3,evening,28.9,1,1,0,1
+9940778441108,67.38,206.2,50,2,1,0.91,0,1,0,1,1,21,0,1414.92,paid,5G,184.9,evening,1.3,4,2,0,0
+9940779735930,56.89,291.5,100,0,1,0.37,2,1,1,1,1,20,0,1137.8,paid,5G,286.4,evening,1.1,1,1,1,1
+9940559347542,91.79,274.7,50,1,2,3.84,0,2,0,0,4,35,0,3212.79,paid,5G,246.9,evening,7.4,5,2,1,1
+9940702633203,54.64,40.0,100,2,3,1.22,0,4,1,0,3,16,1,874.22,unpaid,GPON,20.7,evening,15.4,3,1,0,1
+9940516376550,56.58,120.3,50,2,0,3.23,1,2,1,1,2,22,1,1244.68,paid,5G,128.1,night,1.0,1,0,0,1
+9940701941354,67.9,53.0,50,2,3,1.29,0,3,0,1,4,22,0,1493.73,paid,ADSL,23.0,evening,34.5,5,2,0,1
+9940707020528,72.97,93.6,100,3,2,1.12,0,4,1,0,2,31,0,2262.09,paid,5G,78.0,evening,4.0,2,0,0,0
+9940519931020,70.74,321.5,100,2,1,1.52,1,4,0,1,3,19,0,1344.15,paid,Cable,342.6,afternoon,4.7,2,0,1,1
+9940511473183,68.53,284.0,200,1,1,2.3,0,1,2,0,1,20,1,1370.7,paid,Cable,288.4,evening,14.0,4,3,1,1
+9940506909153,130.62,10.0,50,1,3,3.04,1,2,0,0,4,39,0,5094.13,paid,5G,25.4,night,1.7,1,0,0,1
+9940509509678,18.48,232.4,20,2,0,0.45,0,4,0,0,1,6,0,110.9,paid,5G,206.5,afternoon,3.6,4,1,1,1
+9940558624658,23.3,127.8,100,1,1,2.01,0,4,1,0,2,12,0,279.63,paid,ADSL,129.1,afternoon,40.5,2,0,0,1
+9940554532362,80.86,168.4,50,1,1,0.4,0,3,0,0,3,28,0,2264.11,paid,Cable,198.4,morning,12.9,5,1,1,1
+9940501935297,40.6,190.4,20,0,1,2.6,0,2,3,0,3,10,0,406.03,paid,Cable,177.1,evening,12.6,3,2,0,1
+9940559315102,76.46,127.0,200,2,1,5.4,0,1,1,1,3,21,0,1605.59,paid,ADSL,117.2,evening,40.4,4,1,0,1
+9940709291901,87.32,255.0,100,3,1,1.41,0,1,2,1,4,28,0,2445.09,paid,GPON,266.7,evening,29.8,3,0,1,0
+9940516210797,109.92,241.9,100,2,4,2.11,2,1,0,1,4,31,0,3407.4,paid,5G,223.9,night,10.8,1,0,0,1
+9940519810051,57.52,126.7,100,1,1,0.58,1,5,2,0,2,26,0,1495.5,paid,ADSL,141.1,evening,18.7,2,4,0,0
+9940511041569,98.07,131.2,200,1,1,2.38,1,3,1,0,3,26,0,2549.7,paid,GPON,101.2,night,17.2,5,0,0,0
+9940556549495,31.61,76.6,100,1,2,2.7,0,2,1,0,3,20,0,632.16,overdue,ADSL,46.6,evening,23.2,3,1,0,1
+9940511346877,93.1,186.0,100,1,0,0.67,1,3,0,0,2,25,0,2327.5,paid,ADSL,192.3,morning,10.3,1,0,0,1
+9940709421247,85.68,76.7,200,2,0,0.58,0,3,1,0,3,31,0,2656.14,overdue,5G,57.1,evening,15.0,1,1,0,0
+9940517123768,66.78,145.1,100,0,3,2.05,0,1,0,0,4,32,0,2136.98,unpaid,ADSL,133.8,evening,9.0,1,0,0,0
+9940559220857,77.32,200.1,100,1,0,0.48,1,5,0,0,3,25,0,1932.94,paid,GPON,217.7,evening,3.4,5,0,0,1
+9940516064011,13.91,120.7,20,0,0,11.32,0,3,2,1,1,8,0,111.29,paid,GPON,133.2,evening,5.5,5,1,0,1
+9940501749367,85.32,69.5,50,3,1,0.9,1,3,1,1,1,30,0,2559.72,paid,5G,44.9,evening,29.0,3,0,0,1
+9940701238791,146.56,131.1,50,2,3,0.77,0,3,0,1,3,48,0,7034.85,paid,5G,141.5,morning,1.8,3,1,0,1
+9940514020160,96.58,152.6,200,1,0,0.68,1,5,0,1,3,28,0,2704.3,overdue,GPON,146.6,evening,2.7,3,0,0,1
+9940517691138,30.87,222.2,100,0,1,0.27,1,5,1,1,3,12,0,370.45,paid,ADSL,230.5,evening,1.9,2,0,0,1
+9940702359290,119.44,208.9,100,2,0,0.49,0,1,0,1,4,38,0,4538.75,paid,ADSL,208.5,night,29.2,4,1,1,1
+9940778669307,103.5,48.1,100,1,1,0.53,3,4,1,0,1,24,0,2483.94,paid,Cable,18.1,evening,2.2,2,0,0,1
+9940703155350,130.64,124.3,100,1,0,0.02,2,1,2,0,2,32,0,4180.6,paid,Cable,110.0,morning,1.9,4,0,0,0
+9940775467756,52.53,218.9,200,1,2,2.1,3,1,1,0,3,14,0,735.45,paid,Cable,188.9,evening,42.3,1,1,1,0
+9940772827729,135.64,78.5,20,1,1,4.69,5,3,0,0,4,42,0,5696.8,paid,ADSL,82.2,evening,5.8,3,1,0,1
+9940555191816,71.94,124.9,200,2,2,2.45,3,3,4,0,4,25,0,1798.61,paid,Cable,132.8,evening,23.6,3,1,0,1
+9940705069566,94.42,171.2,200,2,1,2.53,2,3,0,0,4,29,0,2738.09,paid,Cable,157.1,evening,7.8,1,1,0,1
+9940511049257,49.52,269.1,20,3,0,0.08,2,1,2,1,2,10,0,495.18,paid,GPON,266.8,evening,32.6,5,1,1,1
+9940556110302,63.7,208.3,100,3,1,0.86,0,4,0,1,1,21,0,1337.75,paid,Cable,188.8,evening,3.6,1,0,0,0
+9940558079846,133.04,110.4,50,1,0,1.35,1,3,1,1,3,39,0,5188.61,paid,Cable,135.5,evening,33.9,4,2,0,1
+9940779426483,123.11,118.3,50,0,1,0.51,2,1,3,0,1,37,0,4554.97,paid,ADSL,92.6,evening,8.3,3,1,0,1
+9940773976444,76.82,147.7,200,1,1,0.69,1,2,2,1,2,29,0,2227.76,paid,ADSL,141.5,evening,29.3,4,2,0,1
+9940558925275,88.83,308.5,50,4,4,1.76,3,1,0,1,2,19,0,1687.72,paid,Cable,282.5,afternoon,6.8,3,0,1,0
+9940708908871,8.61,276.0,200,1,5,0.01,2,5,1,1,2,7,0,60.24,paid,5G,280.7,morning,6.2,3,0,1,1
+9940519895443,68.48,265.9,100,2,2,4.39,3,4,0,0,4,17,0,1164.16,paid,ADSL,286.6,afternoon,52.8,4,2,1,1
+9940774357544,69.33,134.9,200,0,0,1.94,1,3,0,0,2,24,0,1663.8,paid,GPON,104.9,night,28.6,1,2,0,1
+9940558658022,79.76,69.9,100,0,1,1.31,1,1,0,1,4,21,0,1675.06,paid,GPON,83.0,night,34.3,2,0,0,1
+9940556085700,75.78,91.0,100,1,0,0.13,0,5,1,0,1,25,0,1894.56,paid,5G,121.0,night,4.0,3,1,0,1
+9940701524436,60.59,172.4,20,1,1,0.79,1,2,2,0,2,13,0,787.63,paid,5G,175.0,morning,17.5,2,0,0,1
+9940703433075,22.39,133.4,200,0,0,3.14,0,3,1,1,1,10,0,223.94,paid,GPON,119.9,night,28.1,1,1,0,1
+9940507048461,124.15,10.0,100,2,2,1.48,1,4,1,0,3,40,0,4965.96,paid,5G,9.2,night,18.4,4,1,0,1
+9940512445294,75.43,252.4,50,1,1,2.11,0,2,2,0,4,17,0,1282.37,unpaid,GPON,241.5,afternoon,18.0,1,1,1,0
+9940504912587,52.98,129.7,50,3,3,1.39,0,5,0,1,1,19,0,1006.71,overdue,ADSL,159.7,evening,1.0,4,1,0,1
+9940707974170,61.49,236.6,20,1,5,0.9,0,2,4,0,2,18,0,1106.9,overdue,5G,253.3,night,8.6,1,0,0,1
+9940502347835,65.64,219.8,50,0,0,1.52,0,2,1,0,4,13,1,853.35,paid,Cable,237.8,evening,7.1,4,0,1,0
+9940515469313,34.89,110.6,20,1,0,2.46,1,1,0,0,3,14,0,488.41,paid,Cable,140.6,night,17.2,5,0,0,1
+9940552933727,41.59,85.6,200,0,0,4.38,1,2,1,1,1,11,1,457.45,unpaid,GPON,112.5,evening,7.0,2,0,0,0
+9940705828390,27.8,72.3,50,6,0,8.63,3,4,1,1,1,12,1,333.63,paid,ADSL,69.9,afternoon,7.0,2,1,0,1
+9940553166402,69.09,184.0,100,3,0,0.43,0,3,0,0,2,17,0,1174.59,overdue,GPON,184.5,afternoon,4.5,2,1,1,1
+9940779688742,77.56,179.1,200,1,2,1.97,1,5,0,0,1,24,0,1861.32,paid,Cable,209.1,morning,10.1,3,0,0,1
+9940771690310,100.95,169.5,200,2,2,0.45,2,5,1,0,2,28,1,2826.49,paid,ADSL,154.8,evening,5.3,2,1,0,1
+9940509672218,78.89,48.9,50,2,0,0.02,1,2,1,1,3,23,0,1814.56,paid,GPON,45.4,afternoon,4.3,5,0,0,0
+9940778126873,56.98,43.6,20,1,3,2.51,2,4,0,1,2,21,0,1196.56,paid,ADSL,23.3,evening,6.1,5,0,0,1
+9940708700778,57.62,106.3,100,1,2,1.03,1,3,1,1,3,20,0,1152.36,paid,GPON,76.3,night,2.7,4,0,0,0
+9940708663580,87.98,273.4,200,1,2,1.67,1,3,4,0,1,17,0,1495.64,overdue,GPON,255.8,afternoon,35.1,2,1,1,0
+9940502688483,48.38,151.0,50,2,1,0.98,1,2,0,1,3,13,0,628.92,paid,GPON,133.8,evening,21.8,1,0,0,1
+9940709379824,73.79,181.7,20,2,2,0.38,2,1,1,0,1,26,0,1918.49,paid,ADSL,169.2,night,11.6,2,0,0,1
+9940706348453,106.36,141.9,100,3,1,0.64,3,3,1,0,3,30,0,3190.69,paid,ADSL,154.1,night,14.6,3,0,1,0
+9940559659414,67.86,119.8,100,3,0,1.82,1,4,2,0,3,25,0,1696.51,paid,GPON,119.6,night,11.9,5,1,0,0
+9940508903325,74.18,253.0,20,1,0,3.06,1,5,0,0,3,25,0,1854.38,overdue,GPON,273.2,evening,12.7,4,0,1,0
+9940556216490,59.41,263.6,20,1,2,0.82,0,3,2,0,2,23,0,1366.51,paid,5G,266.6,morning,8.4,5,3,1,0
+9940774370175,96.7,45.4,100,2,3,0.32,2,1,2,1,1,31,1,2997.65,paid,ADSL,49.0,evening,8.1,3,1,0,1
+9940702055584,124.05,248.6,20,2,1,2.21,0,3,0,1,3,35,0,4341.79,paid,Cable,242.7,night,27.2,3,1,1,1
+9940501909955,152.46,213.5,20,2,1,3.02,0,2,1,0,1,42,0,6403.22,paid,5G,243.5,evening,16.1,2,0,0,1
+9940774507386,99.0,48.3,50,0,2,5.25,1,5,1,0,2,29,1,2871.07,paid,5G,39.9,afternoon,50.7,4,1,0,0
+9940778298665,42.76,44.0,50,4,3,1.27,2,4,1,0,2,18,1,769.75,paid,ADSL,62.3,evening,4.2,4,0,0,0
+9940505548093,97.14,46.1,200,0,1,0.11,1,5,1,0,2,32,0,3108.58,unpaid,5G,22.5,evening,5.3,1,1,0,1
+9940775335871,77.21,169.7,50,1,1,1.22,0,2,0,0,2,25,0,1930.24,paid,ADSL,164.8,night,5.2,3,1,0,1
+9940553200083,150.73,82.4,200,1,1,2.24,2,3,1,0,2,41,1,6179.75,paid,ADSL,112.4,morning,21.2,5,0,0,1
+9940556079533,95.62,293.4,100,1,2,0.31,2,1,1,1,1,27,0,2581.77,paid,GPON,307.1,afternoon,8.9,3,0,1,1
+9940556742677,45.8,262.5,50,0,3,0.52,0,1,0,0,1,19,0,870.22,paid,ADSL,234.5,evening,4.4,3,0,1,1
+9940709839297,122.86,144.5,100,1,1,9.39,1,2,0,1,2,32,1,3931.67,paid,5G,123.8,night,16.6,1,0,0,0
+9940777564751,96.69,104.1,20,0,2,0.6,1,2,0,1,2,27,0,2610.68,paid,GPON,134.1,night,9.1,4,2,0,1
+9940706464902,26.95,58.5,200,2,0,3.23,2,4,0,1,1,3,0,80.86,paid,GPON,60.3,afternoon,19.6,5,0,0,1
+9940779190690,110.17,141.4,50,1,0,0.77,0,2,0,1,4,31,0,3415.42,paid,ADSL,135.9,evening,5.1,5,2,0,1
+9940774824814,95.98,100.3,200,1,3,1.24,1,5,1,1,2,24,0,2303.61,paid,ADSL,84.7,evening,9.8,5,1,0,1
+9940509414539,147.21,173.6,100,3,0,1.21,0,4,1,0,1,43,0,6330.17,paid,ADSL,167.3,afternoon,2.3,5,2,0,1
+9940514329858,25.74,226.6,50,2,0,2.41,1,5,2,0,2,9,0,231.68,paid,5G,254.9,evening,35.3,2,0,1,0
+9940702150012,90.05,76.6,50,1,1,2.67,0,2,1,1,1,27,0,2431.42,paid,5G,62.6,evening,16.2,4,0,0,0
+9940554758573,67.08,109.9,20,0,3,1.98,1,3,2,0,4,16,1,1073.31,paid,ADSL,97.8,night,9.5,2,0,0,0
+9940502158897,40.78,47.6,100,0,1,0.14,2,3,1,1,2,11,0,448.56,overdue,5G,59.6,evening,1.4,2,2,0,1
+9940502065591,34.46,179.8,20,1,1,1.93,3,4,0,0,4,21,0,723.71,paid,ADSL,159.1,night,11.6,1,0,0,1
+9940558930876,115.23,107.0,100,1,0,0.32,1,5,0,0,2,32,0,3687.49,paid,ADSL,88.3,morning,1.4,1,0,0,0
+9940708152754,76.12,203.9,20,1,1,4.52,2,3,0,1,4,19,0,1446.37,paid,Cable,204.0,evening,10.3,3,2,1,1
+9940502990905,149.11,270.6,20,1,0,2.73,1,5,0,0,4,45,0,6710.07,paid,5G,271.2,evening,9.2,1,0,1,1
+9940508539450,25.89,139.4,20,3,2,1.57,1,3,3,0,3,7,1,181.21,paid,GPON,123.2,afternoon,19.5,1,0,0,1
+9940501620119,111.94,187.8,20,1,1,1.81,0,2,2,0,2,33,0,3694.03,overdue,Cable,197.2,evening,1.6,1,1,1,1
+9940553559573,146.66,63.3,200,3,1,0.98,0,1,2,1,4,36,1,5279.65,unpaid,ADSL,67.6,evening,12.4,4,1,0,0
+9940507354915,46.67,221.9,200,1,0,0.38,2,2,3,0,3,19,1,886.71,paid,ADSL,191.9,evening,5.4,3,1,1,1
+9940553734169,132.61,23.2,200,2,2,2.41,1,2,0,0,1,37,0,4906.73,overdue,Cable,38.8,night,4.4,5,0,0,1
